X	shannon_entropy
G1-175	1.43414841739117
G1-176	0.165427033996267
G1-180	0.320982747227948
G1-181	0.825583780118964
G1-182	0.095017245671076
G2-1103	2.23507214690167
G2-1104	1.44984752914159
G2-197	2.02366877314536
G2-198	1.63487977687507
G2-21	1.14862510740172
G2-210	1.84748060990153
G2-211	2.01816304282172
G2-212	1.90089036786796
G2-22	1.04621296411223
G2-23	0.960917889139876
G2-24	0.856114627768572
G2-25	1.874959409568
G2-26	0.705837668228062
G2-27	2.14220551088076
G2-28	1.74561962156636
G2-29	1.94743419269719
