	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-325	0.0	0.05494615826778963	0.021838403722577546	0.04816840185605814	0.009712723757175036	0.14293605738264661
G2-326	0.05494615826778963	0.0	0.07063018627389775	0.06987530519125966	0.05009646918707868	0.10643061300067021
G2-327	0.021838403722577546	0.07063018627389775	0.0	0.0672720263926098	0.02122851479384617	0.15605897274673455
G2-328	0.04816840185605814	0.06987530519125966	0.0672720263926098	0.0	0.04845241427714235	0.10683076729542428
G2-329	0.009712723757175036	0.05009646918707868	0.02122851479384617	0.04845241427714235	0.0	0.13574462778110882
G2-330	0.14293605738264661	0.10643061300067021	0.15605897274673455	0.10683076729542428	0.13574462778110882	0.0
