	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-325	0.0	0.42070116861435725	0.08291597106288258	0.19574290484140233	0.05286588759042849	0.6545631608235949
G2-326	0.42070116861435725	0.0	0.41708402893711743	0.4383695047301057	0.40943238731218695	0.382582081246522
G2-327	0.08291597106288258	0.41708402893711743	0.0	0.21967167501391208	0.07415136338341681	0.6353644963828603
G2-328	0.19574290484140233	0.4383695047301057	0.21967167501391208	0.0	0.2239844184752365	0.5467445742904842
G2-329	0.05286588759042849	0.40943238731218695	0.07415136338341681	0.2239844184752365	0.0	0.6268781302170284
G2-330	0.6545631608235949	0.382582081246522	0.6353644963828603	0.5467445742904842	0.6268781302170284	0.0
