	G1-11	G1-12	G1-13	G1-130	G1-131	G1-132	G1-135	G1-136	G1-138	G1-139	G1-14	G1-140	G1-141	G1-142	G1-143	G1-144	G1-15	G1-177	G1-178	G1-180	G1-182	G1-187	G1-188	G1-189	G1-190	G1-192	G1-193	G2-1100	G2-1101	G2-1102	G2-1103	G2-1105	G2-1106	G2-1107	G2-1108	G2-1109	G2-1110	G2-1111	G2-1113	G2-194	G2-198	G2-199	G2-21	G2-210	G2-211	G2-212	G2-213	G2-214	G2-215	G2-216	G2-217	G2-218	G2-219	G2-22	G2-220	G2-221	G2-222	G2-223	G2-224	G2-23	G2-24	G2-26	G2-27	G2-28	G2-29	G2-313	G2-314	G2-315	G2-316	G2-317	G2-318	G2-319	G2-320	G2-321	G2-322	G2-323	G2-324	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330	G2-413	G2-414	G2-415	G2-416	G3-418	G3-419	G3-420	G3-422	G3-423	G3-424	G3-425	G3-426	G3-427	G3-428	G3-429	G3-430
G2-1105	0.9475	0.9475	0.9495	0.995	0.995	0.9955	0.949	0.9485	0.9585	0.9035	0.9495	0.89	0.9465	0.95	0.9485	0.9495	0.949	0.9475	0.9475	0.9975	0.9955	0.8405	0.8355	0.8215	0.784	0.9475	0.9475	0.3925	0.339	0.4525	0.524	0.0	0.011	0.0355	0.0045	0.006	0.015	0.0125	0.004	0.9345	0.9995	0.3325	0.9795	0.9915	0.987	0.9975	0.944	0.947	0.948	0.947	0.9455	0.948	0.86	0.9985	0.835	0.6945	0.8575	0.8995	0.86	0.9975	0.998	0.931	0.9965	0.994	0.975	0.015	0.232	0.049	0.2685	0.087	0.1125	0.0035	0.0575	0.0765	0.0695	0.2595	0.4515	0.9035	0.4725	0.8965	0.802	0.884	0.3495	0.949	0.9465	0.9475	0.9475	0.949	0.9475	0.948	0.9475	0.9475	0.9465	0.9475	0.948	0.9475	0.948	0.9475	0.949
G2-1106	0.937	0.9375	0.9395	0.9945	0.9945	0.995	0.939	0.9385	0.958	0.894	0.9395	0.8805	0.937	0.94	0.9385	0.94	0.9395	0.9375	0.9375	0.997	0.9955	0.831	0.826	0.8115	0.774	0.9375	0.937	0.3835	0.3295	0.443	0.5145	0.011	0.0	0.0265	0.009	0.017	0.0255	0.003	0.009	0.924	0.999	0.3235	0.9795	0.991	0.986	0.9965	0.934	0.937	0.9375	0.9365	0.935	0.9385	0.85	0.999	0.825	0.6845	0.848	0.8895	0.851	0.998	0.9985	0.9315	0.996	0.993	0.974	0.022	0.223	0.04	0.259	0.087	0.103	0.014	0.048	0.067	0.06	0.2495	0.442	0.894	0.463	0.887	0.7925	0.8745	0.34	0.939	0.9365	0.9375	0.938	0.939	0.9375	0.938	0.938	0.9375	0.937	0.937	0.938	0.937	0.938	0.937	0.939
G2-1107	0.914	0.914	0.914	0.9945	0.9945	0.996	0.927	0.914	0.958	0.869	0.914	0.855	0.912	0.915	0.915	0.9145	0.914	0.914	0.914	0.999	0.997	0.806	0.8005	0.788	0.7505	0.9145	0.914	0.357	0.3055	0.4175	0.4905	0.0355	0.0265	0.0	0.031	0.0395	0.0485	0.0235	0.032	0.901	0.9995	0.2975	0.9815	0.9925	0.989	0.999	0.911	0.9135	0.915	0.914	0.9125	0.9145	0.827	0.999	0.8015	0.661	0.824	0.8665	0.8265	0.998	0.9995	0.9315	0.9975	0.996	0.977	0.047	0.1965	0.0145	0.233	0.0875	0.0775	0.038	0.023	0.042	0.0345	0.2265	0.4165	0.868	0.4375	0.861	0.767	0.8485	0.314	0.9135	0.912	0.9135	0.922	0.914	0.914	0.914	0.914	0.914	0.9115	0.914	0.914	0.914	0.914	0.914	0.914
G2-1108	0.945	0.945	0.945	0.9945	0.9945	0.996	0.945	0.945	0.958	0.9	0.945	0.886	0.943	0.946	0.946	0.9455	0.945	0.945	0.945	0.999	0.997	0.837	0.8315	0.819	0.7815	0.9455	0.945	0.388	0.3365	0.4485	0.5215	0.0045	0.009	0.031	0.0	0.0085	0.0175	0.0095	0.001	0.932	0.9995	0.3285	0.9815	0.9925	0.989	0.999	0.942	0.9445	0.946	0.945	0.9435	0.9455	0.858	0.999	0.8325	0.692	0.855	0.8975	0.8575	0.998	0.9995	0.9315	0.9975	0.996	0.977	0.0165	0.2275	0.0455	0.264	0.0875	0.1085	0.007	0.054	0.073	0.0655	0.2575	0.4475	0.899	0.4685	0.892	0.798	0.8795	0.345	0.9445	0.943	0.9445	0.944	0.945	0.945	0.945	0.945	0.945	0.9425	0.945	0.945	0.945	0.945	0.945	0.945
G2-1109	0.9515	0.9525	0.9515	0.9925	0.9925	0.9935	0.951	0.951	0.956	0.9075	0.9515	0.8935	0.9505	0.9545	0.954	0.954	0.951	0.951	0.951	0.997	0.9955	0.8445	0.839	0.8265	0.789	0.953	0.9525	0.396	0.344	0.4555	0.5275	0.006	0.017	0.0395	0.0085	0.0	0.0115	0.0175	0.0085	0.9395	0.9995	0.336	0.9795	0.99	0.9885	0.9965	0.9485	0.9525	0.954	0.953	0.9515	0.952	0.866	0.997	0.84	0.6995	0.8625	0.9055	0.8655	0.996	0.9975	0.9295	0.995	0.9945	0.9765	0.0155	0.2355	0.053	0.272	0.086	0.1155	0.003	0.062	0.0805	0.074	0.264	0.4545	0.9055	0.4755	0.8985	0.804	0.886	0.3515	0.9525	0.949	0.9505	0.95	0.951	0.9515	0.951	0.952	0.951	0.9485	0.951	0.9515	0.9525	0.952	0.951	0.951
G2-1110	0.9625	0.9625	0.9625	0.9955	0.9955	0.997	0.9625	0.9625	0.9625	0.9175	0.9625	0.9035	0.96	0.9625	0.9625	0.9625	0.9625	0.9625	0.9625	1.0	0.998	0.8545	0.849	0.8365	0.799	0.9625	0.9625	0.4055	0.3535	0.4655	0.539	0.015	0.0255	0.0485	0.0175	0.0115	0.0	0.026	0.0175	0.9495	1.0	0.346	0.982	0.9935	0.9895	1.0	0.959	0.961	0.9625	0.9615	0.96	0.9625	0.875	0.9995	0.85	0.7095	0.8725	0.9145	0.8745	0.9985	1.0	0.932	0.9985	0.9965	0.9775	0.018	0.245	0.063	0.281	0.0945	0.1255	0.0115	0.0705	0.0895	0.082	0.2745	0.4645	0.9165	0.485	0.9095	0.8155	0.897	0.362	0.962	0.9605	0.962	0.9615	0.9625	0.9625	0.9625	0.9625	0.9625	0.96	0.9625	0.9625	0.9625	0.9625	0.9625	0.9625
G2-1111	0.9365	0.9365	0.9375	0.9955	0.9955	0.996	0.937	0.9365	0.959	0.8915	0.9375	0.878	0.9345	0.9375	0.9365	0.9375	0.937	0.9365	0.9365	0.999	0.997	0.8285	0.8235	0.8105	0.773	0.9365	0.9365	0.3805	0.3275	0.44	0.513	0.0125	0.003	0.0235	0.0095	0.0175	0.026	0.0	0.0095	0.9235	1.0	0.3205	0.981	0.9925	0.9885	0.999	0.933	0.935	0.9365	0.9355	0.934	0.9365	0.849	0.999	0.824	0.6835	0.8465	0.8885	0.8485	0.998	0.999	0.9315	0.9975	0.9955	0.9765	0.0245	0.22	0.037	0.256	0.087	0.1	0.0145	0.045	0.064	0.057	0.2485	0.4395	0.8915	0.46	0.8845	0.79	0.872	0.337	0.937	0.9345	0.936	0.9355	0.937	0.9365	0.9365	0.9365	0.9365	0.9345	0.9365	0.9365	0.9365	0.9365	0.9365	0.937
G2-1113	0.945	0.945	0.9455	0.9945	0.9945	0.9955	0.945	0.945	0.958	0.9	0.9455	0.886	0.9425	0.9465	0.946	0.946	0.945	0.945	0.945	0.9985	0.9965	0.837	0.8315	0.819	0.7815	0.9455	0.945	0.389	0.337	0.449	0.5215	0.004	0.009	0.032	0.001	0.0085	0.0175	0.0095	0.0	0.932	0.999	0.3285	0.9805	0.992	0.988	0.9985	0.9415	0.9445	0.946	0.945	0.9435	0.945	0.8575	0.998	0.8325	0.692	0.855	0.897	0.857	0.997	0.9985	0.9305	0.997	0.995	0.976	0.016	0.2285	0.0455	0.265	0.0875	0.109	0.0065	0.054	0.073	0.066	0.257	0.4475	0.8995	0.469	0.8925	0.798	0.88	0.346	0.945	0.943	0.9445	0.944	0.945	0.945	0.945	0.945	0.945	0.9425	0.945	0.945	0.945	0.945	0.945	0.945
G2-194	0.174	0.4725	0.4685	0.83	0.675	0.8515	0.74	0.387	0.8135	0.378	0.4825	0.363	0.528	0.5385	0.5365	0.538	0.4225	0.324	0.1825	0.611	0.613	0.4305	0.428	0.196	0.3115	0.5315	0.2645	0.616	0.8005	0.708	0.7225	0.9345	0.924	0.901	0.932	0.9395	0.9495	0.9235	0.932	0.0	0.483	0.8075	0.6035	0.473	0.465	0.4675	0.5255	0.5355	0.534	0.5335	0.5335	0.545	0.5265	0.621	0.511	0.4685	0.5045	0.3665	0.533	0.62	0.744	0.93	0.4785	0.4745	0.4625	0.932	0.7795	0.887	0.736	0.9285	0.888	0.938	0.879	0.8605	0.8675	0.68	0.487	0.3955	0.55	0.409	0.4575	0.342	0.832	0.634	0.3345	0.5455	0.848	0.2475	0.538	0.2235	0.246	0.3645	0.499	0.1965	0.135	0.2085	0.2165	0.382	0.204
G2-198	0.5735	0.4075	0.8985	0.848	0.672	0.875	0.8025	0.4295	0.8495	0.8435	0.717	0.827	0.9575	0.9535	0.9535	0.953	0.755	0.781	0.621	0.414	0.416	0.6205	0.8925	0.664	0.7795	0.953	0.2395	0.9995	1.0	1.0	0.9775	0.9995	0.999	0.9995	0.9995	0.9995	1.0	1.0	0.999	0.483	0.0	0.998	0.416	0.035	0.117	0.049	0.9705	0.9535	0.9545	0.9585	0.9705	0.9835	0.982	0.503	0.9765	0.9375	0.97	0.8205	0.9845	0.44	0.7455	0.95	0.122	0.1015	0.0955	0.9935	0.9995	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.845	0.885	0.859	1.0	0.8725	0.8935	0.8055	1.0	0.8215	0.7665	0.816	0.9485	0.6255	0.814	0.6535	0.6765	0.7995	0.818	0.649	0.5735	0.644	0.647	0.8275	0.6345
