	G2-325	G2-326	G2-327	G2-328	G2-329	G2-330
G2-325	0.0	0.0083350222335725	0.024020584869910867	0.0050142896568955	0.0801020446963185	0.12576440104539713
G2-326	0.0083350222335725	0.0	0.032175892955043174	0.013328414814003098	0.08776941460639257	0.12483949860090805
G2-327	0.024020584869910867	0.032175892955043174	0.0	0.024020577651605184	0.10064525020438145	0.14054446359020553
G2-328	0.0050142896568955	0.013328414814003098	0.024020577651605184	0.0	0.08453082845713633	0.1257643952244253
G2-329	0.0801020446963185	0.08776941460639257	0.10064525020438145	0.08453082845713633	0.0	0.18804355323750382
G2-330	0.12576440104539713	0.12483949860090805	0.14054446359020553	0.1257643952244253	0.18804355323750382	0.0
