Eigvals	21
1.531396280076286	1.0722369734847852	0.6755355821327862	0.12507497527124942	0.05658345004436793	0.03825198401298546	0.025017446793416304	0.014961774826892676	0.010366353487001836	0.007091550940309971	0.002555674058487875	0.0009322242078508847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Proportion explained	21
0.43016697852492636	0.3011897998888211	0.1897569584259811	0.03513337788624709	0.015894208479394607	0.010744926443617884	0.00702736426720059	0.00420274069774684	0.0029118935548170313	0.001992006302181156	0.0007178851105603448	0.0002618604185058042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Species	0	0

Site	21	21
G1-175	-0.0781330488338051	0.13009439195783337	-0.221184837685692	-0.12635190647588454	-0.04966952722044131	-0.1107427284657278	-0.03384984397694322	0.0031451228531004048	0.02334051348425646	0.006313377740323383	-0.0016918285411344973	0.005588583906833575	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G1-176	-0.16293367635725348	0.055314272012675386	-0.26155835132669214	0.09602854130535911	-0.015738085734462566	0.035141537472504335	0.01715171552525007	0.014231415845946043	-0.03302629599549096	0.009743466631798453	-0.007129057750259752	-0.0027300117902483044	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G1-180	-0.17047812352796965	0.03935383370341207	-0.2551596101748624	0.1128080358160199	0.0010581400507431043	0.035379846113519416	-0.0006614692351379696	-0.022857784767810897	0.026793689150726132	-0.0009610737431024792	0.009477396243393199	-0.010419964598972048	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G1-181	-0.09102912062064043	0.12985722380963022	-0.2528762635478382	-0.058861328657029664	-0.05734589377475774	-0.003999817169117224	0.007766541217970413	0.0234395852363662	0.0015970204133264243	-0.004638176750630827	0.0016938834419525548	-0.010662383817616966	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G1-182	-0.1706338646924053	0.04493687464921513	-0.2622997782048654	0.10094946111760332	-0.018342762002003115	0.050901405973165635	0.01521981632958844	-0.00451226494750892	0.005974487914348773	-0.007652102988572178	-0.00254952166359248	0.01687972373065533	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-1103	0.6405880412845398	0.4520305121161008	0.013117775360247105	-0.123627227617493	-0.058809270629456754	0.07237203312860661	0.017258224683215678	0.010822133863992865	0.003798337325655514	-0.004498622088297175	0.0018748212134906148	0.0005263828437576611	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-1104	0.5762681004331502	0.3889055964828756	0.082647023640842	0.18889233705473457	0.04358255924429883	-0.08479009377445058	-0.013249872329574293	-0.017868843364117242	-0.0009539823269054927	0.0016327002651902913	-0.0015891130623857308	-0.0001470244741372814	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-197	-0.14102455242345446	0.09588257297306371	0.09822888687286523	-0.00212685799150905	0.09297890134173796	-0.0037132093908664454	-0.006413208965464285	0.07294438440126835	-0.008039119820179285	0.011072552490331511	-0.013864762610568683	-0.0027458523636689166	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-198	-0.2255900194420782	0.052478296946779	0.13963315912724483	-0.012832537821678147	0.03086946565803289	-0.007880282430883638	0.04237136621529545	0.0013550639667756802	0.02930738953403944	-0.026557233508152544	-0.0014136281993173815	-2.6198534758148084e-05	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-21	-0.025239707404801852	-0.17307957824597509	-0.14978131273645334	-0.022878865300537073	0.03580746446420538	-0.057321695753417334	0.05328904322115132	0.02314815989528843	-0.023421896312480792	0.012323183228484288	0.02273384127371062	0.00697492554559752	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-210	-0.19827333410756506	0.05194710806171621	0.1907124473436608	0.008153240903217378	0.022190964287827186	0.021566913446739108	-0.03806641482312652	0.0024336513916701852	0.028706410524473206	0.016691296795811016	0.02566696264567937	-0.008669662452561422	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-211	-0.19521075248973102	0.07969558700560565	0.22962756255820307	0.016135831138866807	-0.0802484903147919	-0.005329288240995106	-0.015991157400674687	0.013713270289408764	-0.04578433035722906	0.004698460646944799	-0.006178621760832168	-0.005111132048485317	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-212	-0.20891016929561837	0.05739978087194592	0.1592311798376261	-0.01872086232034209	-0.00199173715757058	0.00043140693759941516	0.025200470068454942	-0.04973152054285068	0.006434021961595865	0.030389469002705685	-0.021143777037179037	-0.0006292347490985291	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-22	0.048045543464090935	-0.30830813677654	-0.041590606004147136	-0.027694330572049206	0.001444253813164047	0.015138468095869136	-0.06650603400247038	-0.01601745664030863	-0.007726712600600517	0.033700359016916565	0.00016433704234261167	0.003116478972441917	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2-23	-0.005984836717077085	-0.2605377456117	-0.11201426272016853	-0.03482231662964701	0.05150826408223055	-0.016422724967339826	-0.010276767639617103	0.001234186114314461	0.019169336306497867	-0.033212308604877165	-0.019209031722040082	-0.005761905240135845	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
