Feature ID	Taxon	Confidence
7bf73ba5bec4476257c5d0b67fc4aa3d381c7ba9	k__Fungi	0.998924486780449
SH100032.07FU_JX982416_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenophora	0.999877244517755
442606221850d7e18db1380f6143c40bc878895f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.97183446971901
134G6727W81848OU	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.738663326964434
ddcb9a836bdcee7f52bd50d026d2cb441b5795cd	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Penidiella	0.985872515420242
SH020546.07FU_JX042759_reps_singleton	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleraceae;g__Fonsecazyma	0.8
1c116893933103b137495dd5ab0155d18f9f2037	k__Fungi;p__Ascomycota	0.722308608685521
5ad88a73317a69ce86b1eda8c1609c4dc40b76d2	k__Fungi	0.998708271975137
706ebc4336e0103df60abef2911c47308a8fe3c2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	0.545454545454545
630a04257b1c3bf0b85c7223a0b406ceaf7db70f	k__Fungi;p__Ascomycota	0.791130141318957
485H6202T87228AN	k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.891587250635009
162df53ea1c698c37d7d2266de7f4b6e1d1235f4	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae;g__Ascobolus	0.727272727272727
8b244a4a195e6f84505f7e39470924aded81fb0f	k__Fungi	0.998401596058637
578W1638Y73171HK	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.760465127236584
991U9599S76996FU	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Arrhenia	0.999932989591042
177M4600H44436YR	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella	0.999998823981481
459I2025Z37036GJ	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_globispora	0.986608332223234
a3acde6126411b6aa2bf15343d96f8e56b29d514	k__Fungi	0.99867455575591
288O5115E48615RA	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus	0.8
48faa8415bfe113362e25575df318440ff910110	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.666666666666667
SH490860.07FU_UDB026604_reps_singleton	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales	0.788720319275119
759Z1928A23239CS	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__Coniochaeta_polymorpha	0.777286464174393
52faedaa13e1b1e745a293840bafd20e39c28075	k__Fungi	0.998972692020276
497J7789M51286WJ	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Monosporascus	0.999999701006546
SH088369.07FU_KF588372_reps	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Rutstroemiaceae;g__Rutstroemia;s__Rutstroemia_capillus_albis	0.578947368421053
SH125373.07FU_FJ415474_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Elasticomyces;s__Elasticomyces_elasticus	0.999999246601888
f53d4c20f732ce60191de1d7aa85a8cfb309afd2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.959900953647406
867M2185P90947UU	k__Fungi;p__Ascomycota;c__leotiomycetes;o__Helotiales	0.999022773445688
014a40791b046d13c93b81d01f13f789047415cc	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_magnum	0.994132234955086
570Y3639A36475MJ	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae	0.999977847000781
26e74b8476f9dd9151bd0a58f7e8f1b5b842297a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariaceae	0.7
cf263b1b898e38832a7328d95a6406a0b1c24e66	k__Fungi	0.998175706306986
SH129886.07FU_HM148081_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	0.951769844584967
8be207044b66d05161f0a637c99895976b22b28a	k__Fungi	0.998577628741594
541Z7625E36495IG	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_globispora	0.758599370410542
100R9622I54150TZ	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	0.999987605788461
398R9108U45346LI	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma;s__Lophiostoma_multiseptatum	0.999978065913106
2414db0fe511aa89f079e80f166bc9a2cebb20dc	k__Fungi	0.998514815860663
758R3717F19120XE	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae	0.647058823529412
72d4ba838a3b9f96e822b88ccc53eb70fbb36d1c	k__Fungi	0.99870409677396
183S3242G24375CW	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora	0.999961640727758
899E4577N43447EV	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.994230293979513
f0dee0381fab0fadae607f000a5e73e7a96d3469	k__Fungi	0.998675616962296
ad6f3b9723cb8137aefa1f7215f2e07e79d74786	k__Fungi	0.998027191625166
1285852b2f044c76b63bd6896252275491b4147a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.99915485281794
7ecb2d4b8e52d446fb7e00a5a525993f68565e84	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.988303325772666
d4a3ce1c9a5a3a9505f97dc08575e2c3ac15088c	k__Fungi	0.999056003871931
374T9288V27900WJ	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus	1
8d8359c702b0cc944a9fc5bc8e6127051c194ebc	k__Fungi	0.998365465147099
471D8932Z69832FH	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_albida	0.999958150196773
348P8246O32489FZ	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.981166606937939
9918e673f326c34aa716f70e1a99ed22961d8646	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.545454545454545
9a32ca5be27e273b179279456fbf2a3518d485a0	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales	0.999980182735597
2c9542635c54e89f1a326620140a12863be6eeab	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Umbilicariales;f__Umbilicariales_fam_Incertae_sedis;g__Boreoplaca;s__Boreoplaca_ultrafrigida	1
e2edd129afa8a3cc82fb4b41bf423a6d1430fa31	k__Fungi	0.999052949147784
33b30918f6dc6c56cb2014fa6c1073dc9f197fa4	k__Fungi	1
8fbe1264c8bed3ec7333b4638567dae3bc8f5252	k__Fungi	0.998582555293572
471W3739S45842MF	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris;s__Comoclathris_spartii	0.998752020390561
957O9067W55705XT	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.942658646101896
991C5748F12806ZX	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.6
522L3885R44506LP	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.900558820289222
e126859a2104a305da5e243ecd81c86423199d4d	k__Fungi	0.998523295071321
611ed85ccfb735917037004d94c2a15e10c44315	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	1
437P3349C24498QQ	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sparticola;s__Sparticola_junci	0.999999915902912
17cc2db89db9294a8c5ef3125827a9404ee25687	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris;s__Comoclathris_spartii	0.71674029758547
1772e62d053ede771da935dccda8195ce40a9eee	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Umbilicariales;f__Umbilicariales_fam_Incertae_sedis;g__Boreoplaca;s__Boreoplaca_ultrafrigida	1
30c49a8a3125abaa0bf7599c3b3f9586a59e760c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	0.999887138412675
1b2360f8d77e57b889633c71be159a2bffd35b02	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.6
71580df768442acbb2159b650affb4f308b23fb2	Unassigned	0.997327008917483
b938a57589103c81989e5ab12511c188fa8237e7	k__Fungi	0.998871889550943
371B4659K26999RV	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella	0.999999429902892
eefa6dc8b770fdfa42313795de0579c16a0df80d	k__Fungi	0.998297240725844
2841aa8aef8fe7255dacbca9cf7e9986b8128dcc	k__Fungi	0.998982920926548
89fdfc6f51aa6a34c18ebc37acf01eba1a32c632	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.8
66ea9214a9cf930a2036402a22b22b1f739f4506	k__Fungi	0.998281936990665
53d7d7f2f679837b3b59c48e53eaed8a6c567a26	k__Fungi	0.998039915440434
5f5018d01715d8d361c9cf1dcc1443edc0717e26	k__Fungi	0.999044784054538
131C5432O31556SB	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium	0.99992698090254
596N9793W53546HW	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.999916276399606
cdd062f753313614a35fc25e9486c756f371e07c	k__Fungi	0.997201556285725
802M1732I11833RG	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.982065025793122
39bdd9c0fbce23954e3e29b6e3249231fd55fb9c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_laurentii	0.999592382188435
bfe5799935ee1f0447884997440ae2d89e0762f9	k__Fungi	0.998398753355035
345J3802W90577TI	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_friedmannii	0.999887748540771
933T3292P95788LM	k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.545454545454545
32a4ea2d2a8ac93c02529f9c3cd9869610559d7b	k__Fungi	0.998401470033023
10f8c95d0c0b99f6b10d4f07c4db52995fb89c9b	k__Fungi	0.6
c5f0463b7887786dc7cb676fb340937460ef1b63	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium	0.944133166476575
9d6531561a00986ef4a5519f1c25539a6661b114	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.736863306733322
8e1f957ae7522101677a1ed2803bec5349aea321	k__Fungi	0.998493881405552
797J4180E89338WC	k__Fungi;p__Chytridiomycota	0.999685407489402
750P5411P42543HD	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.88527587439115
2ba10f77824ded8030a605090a236243042a5ed7	k__Fungi	0.998349547985001
f66d6c614f4dcaf0950023c9f9dd50e47478c604	k__Fungi	0.997826011319205
a46308f5916c0ec785529808ca70cdc4111b8334	k__Fungi	0.997675520344911
c418de81e79c2f68342e9fcd6b5a1715b36769a7	k__Fungi	0.998669995035786
656T7601P46004PF	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.6
737C6744M82860LP	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Atheliaceae;g__Athelia;s__Athelia_arachnoidea	0.799536062027191
90f8950254fd5b5f1fa84e547ca31601bce4fcbe	k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.7
674W1021T67956RD	k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.766370320258704
c66091b046e92c5c8e5c00f514bed9af0fb6fdfe	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	0.769230769230769
7c5319ee7dd8bbc35943ac30a2e85818d71f5f74	k__Fungi	0.998407697709491
ec54779d14dfcd6baee876e7d1a10e2a98c8d3cc	k__Fungi	0.998628431780684
01cb84f56d8b63d682e28578e80d695af1a3c890	k__Fungi	0.995198735326338
71fabacf231469c6e1abd380b86ff2de36fe3271	k__Fungi	0.998493158460911
d1935a799445adc505ab65178955b8fc1ab86183	k__Fungi	0.998693488468397
9832d285fd9bf2b98f2d8e88610d4dcf9be95a41	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus	0.998184924737498
e982a08d252c5256d04be3ec7f1250c9102f8ccd	k__Fungi	0.998394256087279
8a5f42d54808d518cf5a4a4393c8e08d2e005965	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum	0.789490283926547
34c97af92e50d3a15d9946db3a7e7b91dd88d7f7	k__Fungi	0.998395883853844
827J2822V39694QF	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__Coniochaeta_polymorpha	0.999901053524222
c2a8351d6b961dae7b59b9b936d74c030729bb31	k__Fungi	0.998492814993239
63fc94e51b9e9d90ba56e30c8c2dff9ca5671683	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.966374520355646
648U8287L48374ZR	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Darksidea;s__Darksidea_gamma	0.999747989820554
848W2885W62432HF	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris	0.55
SH086595.07FU_AF033451_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.998849540708786
214L5163J69897JC	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris	0.801360616873685
ce2325212f261e4817863e798e2e943785ac43d6	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella	0.71796086531439
302L8412M77901OX	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Chalara	0.984353663015431
123B6009V65689ER	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__Coniochaeta_polymorpha	0.745704434312419
871C9232I38832FN	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora	0.73629230987134
665744254fbb309cbce3a8db0e6220f2bdb21daf	k__Fungi	0.9982702117941
299C5949L86971TP	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Rutstroemiaceae;g__Rutstroemia;s__Rutstroemia_capillus_albis	0.578947368421053
552G1709N62971LI	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.999980624895626
219D4742B15315PT	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.583333333333333
612P8610I37579JC	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus;s__Coprinellus_sabulicola	0.999998004635957
00f6135a81eece88dce880bbd6e370f2d77d1c41	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae	0.997710979381583
58d14511faf9687f266c23884882513929d480c8	k__Fungi;p__Entomophthoromycota;c__Basidiobolomycetes;o__Basidiobolales	0.978383997994907
f57f3c6577f65140dfc7f979b98dac20d9c61b32	k__Fungi	0.998750560603439
cab36a68e633589488a36f5f61052b0034df131e	k__Fungi	0.998473801632746
69cb1961c1c5b925e2d200adb66f49d31f0e6302	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_tassiana	0.6875
514C2218T75102IG	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris	0.988379953938538
512A8440N83265GR	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sparticola;s__Sparticola_junci	0.999999921692745
da5b05e0115afe355761daa4686a3271042f9338	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Crocicreas	0.998054997947357
c522d99c302b3b7ab8856a54d2e34cca6b1a50c0	k__Fungi	0.997854484889677
4bdfe9cd08984fa48bba5a2482f90108e5ddb789	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pulvinula	0.6
e20f9180b571708c054780dcb12c27354c5fb758	k__Fungi	0.99618752322418
ddbe47098aff49018704267ca12e9458be5947fe	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_globispora	0.975569906415215
1eec5c23bfbf22836063a25078bec4f655f53122	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	0.853723500536327
609Q7040D89369QJ	k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Chionosphaeraceae;g__Kurtzmanomyces	0.998024207869918
cdb0887e6aec24c7d4bfcca60ffb09cabc79b4da	k__Fungi	0.939732106868389
d324263000dbad92210cc98a99a28c9dcb821129	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta	0.666666666666667
545A5935Y40243TE	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_pullulans	0.897073511292853
6a693019a3e118c647baa394d005f314956a84da	k__Fungi	0.998339084611811
b482bff6bb2191f9405cad14f3d5bd388c3c2108	k__Fungi	0.998900139425879
208E8671T22096QF	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Rutstroemiaceae;g__Rutstroemia;s__Rutstroemia_capillus_albis	0.811394565912367
23a546e03f8e077f3d3a83e3416a82a565bafa2e	k__Fungi	0.998627136089596
907C1963K68444XJ	k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.753795541618679
SH085566.07FU_DQ000318_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma	0.900240166277337
SH080525.07FU_GQ924019_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.755360433391878
ccb55d5a3c7e02a847eacdf6709407d2bd47127b	k__Fungi	0.998488404863516
747C2192I59871JM	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae;g__sarcosoma	0.769060321136599
0500fb607f293aa5e37f76aff0d1e295d64c2ea5	k__Fungi	0.998897259241241
017b368d5617a4f5ce024919c3cbf2e524732c4b	k__Fungi	0.998199725868695
1474c7dc3980c5bd115edc83284acf60cb235893	k__Fungi	0.998326437753404
ae78de98ce270ed633be0d41bf7b0cdb607b10e9	k__Fungi	0.998700478470832
SH112905.07FU_EU266559_refs	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_globispora	0.762981824401725
63bf7aeac7879042fd43d1556c4ff8deb0c0bbf1	k__Fungi	0.998213904317864
389R7279D95633QE	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Monosporascus	0.999999962507403
76e7b58a9878f8cb0e2be96f1c5b3aef9a8870bd	k__Fungi	0.998380658012801
248U8390V75252GM	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.711493278470743
598c9086fbfee7b37250eb247b8f02c5de47e12b	k__Fungi	0.998421268600829
95204ed0c50ab37568c5546834057c460626837f	k__Fungi	0.998715734476586
5aac8fa0dff7846f1c7c29f113aaea049c9feddf	k__Fungi	0.998583043643406
