Feature ID,kingdom,phylum,class,order,family,genus,species
4310942f7df8df7fa319095b9a00d1675169fb04,k__Fungi,,,,,,
aff62da957a0c0c959e64e77cff9f881f96e561c,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,,
cba08dde2d1d55aec8cb41624951eab3ef21bb09,k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae,g__Phaeococcomyces,
183R4164P44708PP,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_dichromosporum
43bb6b6afa36718272b0beb1a1ef7a73dacea91a,k__Fungi,,,,,,
SH004426.07FU_JX984791_reps_singleton,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
8f2efcb5d9b4f3780ee3582100ffe36af60868de,k__Fungi,,,,,,
a7dd6273043142d09f167c63de27010aed52fcdf,k__Fungi,,,,,,
b067dd29f16edb597c98578ea22f45d15abdfa7d,k__Fungi,,,,,,
SH490955.07FU_JX326008_reps_singleton,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Piskurozymaceae,g__Solicoccozyma,s__Solicoccozyma_aeria
b1771cf1453df68d316ac0330effb368408fe27c,k__Fungi,,,,,,
336G6323Z10357QZ,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Diatrypaceae,g__Monosporascus,
795H1603U78493FC,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,,
SH116201.07FU_JQ993379_reps,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,s__Naganishia_randhawae
SH497006.07FU_KM104074_reps_singleton,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Tremella,
164S4970B19319ZL,k__Fungi,p__Ascomycota,,,,,
335B6683M11694NZ,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,
305N8528T50210OR,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__pleosporaceae,g__Neocamarosporium,
6adc46b7db6cb9884bb5d39928649c1ab16b1a55,k__Fungi,,,,,,
33bd2bb80b07fa4e049a2fd30802d05cf8587501,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,,
245b67192757e6ffc3845bab6e6e7449cb7c5387,k__Fungi,,,,,,
2217fa10ec899ac907f0d8b9f041632848e0a195,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,,
136ef9c1241ddeef4b5d07949535018feac6c0bd,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,
890C6141V36258ZT,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_vindobonense
e9a3977b2f844c82fda8046b4ad094bb49f65ebf,k__Fungi,,,,,,
