	shannon
G1-115	1.3434276237128755
G1-116	1.468947185537626
G1-161	1.12451321091193
G1-162	1.0557276712711212
G2-410	2.044473812466805
G2-411	1.8804034235709348
G2-412	1.9948350009092215
G3-47	1.9297405241337666
G3-48	1.853875322319678
G3-49	3.1835118423828157
